,School_Name,STREET,POSTCODE,LNG,LAT,LOCALITY,GENDER,OFSTEDRATING,price_paid,postcode,property_type,new_build,estate_type,street
195,Christ The King Catholic Primary School,warren farm road,B44 0QN,-1.87674419,52.54328608,Kingstanding,Mixed,Outstanding,161000,B44 0QA,T,N,F,warren farm road
196,Christ The King Catholic Primary School,warren farm road,B44 0QN,-1.87674419,52.54328608,Kingstanding,Mixed,Outstanding,178000,B44 0QB,S,N,F,warren farm road
197,Clifton Primary School,brunswick road,B12 8NX,-1.877598701,52.45630487,Balsall Heath,Mixed,Good,250000,B12 8NP,O,N,F,brunswick road
198,Clifton Primary School,brunswick road,B12 8NX,-1.877598701,52.45630487,Balsall Heath,Mixed,Good,125000,B21 9AA,T,N,F,brunswick road
199,Clifton Primary School,brunswick road,B12 8NX,-1.877598701,52.45630487,Balsall Heath,Mixed,Good,300000,B21 9AB,S,N,F,brunswick road
200,Clifton Primary School,brunswick road,B12 8NX,-1.877598701,52.45630487,Balsall Heath,Mixed,Good,130000,B21 9AQ,T,N,F,brunswick road
201,Colmers School and Sixth Form College,bristol road south,B45 9NY,-2.003320103,52.39631887,Rednal,Mixed,Good,1075000,B31 2FR,O,N,L,bristol road south
202,Colmers School and Sixth Form College,bristol road south,B45 9NY,-2.003320103,52.39631887,Rednal,Mixed,Good,310000,B31 2JS,D,N,L,bristol road south
203,Colmers School and Sixth Form College,bristol road south,B45 9NY,-2.003320103,52.39631887,Rednal,Mixed,Good,405000,B31 2NG,O,N,F,bristol road south
204,Colmers School and Sixth Form College,bristol road south,B45 9NY,-2.003320103,52.39631887,Rednal,Mixed,Good,65000,B31 2NN,O,N,L,bristol road south
205,Colmers School and Sixth Form College,bristol road south,B45 9NY,-2.003320103,52.39631887,Rednal,Mixed,Good,65000,B31 2NN,F,N,L,bristol road south
206,Colmers School and Sixth Form College,bristol road south,B45 9NY,-2.003320103,52.39631887,Rednal,Mixed,Good,460000,B31 2PA,O,N,F,bristol road south
